,Full_name,Drug_Type,Other_Details_summary
752,Amlodepin 5mg Tablet,Tablet,"The most common side effects include fatigue, swelling in the feet or ankles, sleepiness, dizziness, flushing, headache, and unusual beating of the heart (palpitations). You also need to tell your doctor what other medicines you are taking, especially those used to treat high blood pressure or heart conditions. Before taking it, let your doctor know if you have any liver, heart or kidney problems. Keeping yourself active with regular exercise, reducing your weight, and eating a healthy diet will also help control your blood pressure. It is used to treat high blood pressure (hypertension) and prevent angina (heart-related chest pain). You can take it at any time of the day, with or without food, but it is best to take it at the same time each day. Even if you feel well, do not stop this medicine on your own because high blood pressure often has no symptoms."
753, Gel,Gel,"These may include application site reactions like burning, irritation, itching, and redness. It effectively relieves symptoms such as lumps, redness and swelling associated with different forms of acne by killing the acne causing bacteria. If your condition goes on for longer than four weeks or gets worse at any time, let your doctor know. In case of accidental contact, you should rinse eyes thoroughly with water. Serious allergic reaction to this drug is rare but let your doctor know if you’re bothered by side effects or they do not go away. Aziderm 15% Gel is a topical medication used in the treatment of acne (pimples). You can help this medicine work better by keeping the affected areas clean."
754,DSR Capsule,Capsule,"The most common side effects are diarrhea, stomach pain, dryness in mouth, headache, flatulence, and weakness. Lifestyle modifications like having cold milk and avoiding hot tea, coffee, spicy food or chocolate can help you to get better results. This medicine may cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. Before you start taking this medicine it is important to inform your doctor if you are suffering from kidney or liver disease. You should also tell your doctor if you are pregnant, planning pregnancy or breastfeeding. You should keep taking this medicine for as long as your doctor recommends."
755,AF Luli Cream,Cream,"It works by killing the fungus that causes infections such as athlete’s foot, Dhobie Itch, thrush, ringworm and dry, flaky skin. Signs of this include rash, swelling of the lips, throat or face, swallowing or breathing problems, feeling dizzy or faint and nausea. The most common side effects of using this medicine include a burning sensation and irritation, dryness, peeling or blistering of the skin. The effect of medicine can be increased by keeping the affected area clean and dry, and washing hands before and after treating the infection.  In case of direct contact, wash your eyes with water and seek immediate medical attention. If you have athlete’s foot, wash your socks or tights thoroughly and change your shoes daily if possible. These are not usually serious, but you should call your doctor if you think you might have a severe allergic reaction."
756,Azilide 250 Tablet,Tablet,"Tablet is an antibiotic used to treat various types of bacterial infections of the respiratory tract, ear, nose, throat, lungs, skin, and eye in adults and children. Commonly seen side effects seen with this medicine include vomiting, nausea, stomach pain, and diarrhea. Tablet is a broad-spectrum type of antibiotic effective in killing many types of gram-positive bacteria, some types of gram-negative bacteria and other microorganisms. This medicine is taken orally, preferably either one hour before or 2 hours after a meal. Inform your doctor if you have any previous history of allergy or heart problems before taking this medicine. Consult your doctor if you find these side effects worry you or persist for a longer duration. Pregnant or breastfeeding women should consult their doctor before using this medicine."
757,F Tablet,Tablet,"Nausea, stomach pain, constipation, headache, flatulence (excessive gas), and muscle pain are some of the common side effects of this medicine. This medicine should not be used in conditions such as liver disease (eg. abnormal blood tests for liver function, persistent yellowness of eyes, etc.). This medicine is only one part of a treatment program which should also include a healthy low-fat diet, regular exercise, smoking cessation, moderation of alcohol intake and weight reduction. Before taking it, let your doctor know if you have any kidney-related problems or if you are pregnant, planning a pregnancy, or breastfeeding. Consult your doctor if they persist or if you notice any yellowing of your eyes, unusual bleeding or bruising or get repeated, severe, or unexplained muscle pains. It is used to lower the levels of lipids known as cholesterol and triglycerides in the blood when lifestyle changes (eg. low-fat diet) on their own have failed. Diabetic patients should monitor their blood sugar levels while taking this medicine, as it may lead to an increase in blood sugar levels."
758,CF 10 Capsule,Capsule,"Nausea, stomach pain, constipation, headache, flatulence (excessive gas), and muscle pain are some of the common side effects of this medicine. This medicine should not be used in conditions such as liver disease (eg. abnormal blood tests for liver function, persistent yellowness of eyes, etc.). This medicine is only one part of a treatment program which should also include a healthy low-fat diet, regular exercise, smoking cessation, moderation of alcohol intake and weight reduction. Before taking it, let your doctor know if you have any kidney-related problems or if you are pregnant, planning a pregnancy, or breastfeeding. Consult your doctor if they persist or if you notice any yellowing of your eyes, unusual bleeding or bruising or get repeated, severe, or unexplained muscle pains. It is used to lower the levels of lipids known as cholesterol and triglycerides in the blood when lifestyle changes (eg. low-fat diet) on their own have failed. Diabetic patients should monitor their blood sugar levels while taking this medicine, as it may lead to an increase in blood sugar levels."
759,Avas CV 10 Capsule,Capsule,"This medicine increases your risk of bleeding, so it is important to be careful while shaving, cutting nails, using sharp objects, or engaging in contact sports (e.g., football, wrestling). Nausea, abdominal pain, headache, and constipation are some common side effects of this medicine. Before taking this medicine, tell your doctor if you have liver or kidney disease or you are suffering from bleeding disorder. Lifestyle changes like low-fat diet, exercise and not smoking may help this medicine to work better. You should also let your healthcare team know all other medicines you are taking as they may affect, or be affected by this medicine. Let your doctor know if you notice yellowing of the skin, muscle pain or dark urine. This medicine reduces the ""bad"" cholesterol (LDL) and triglycerides (fats) levels."
760,S Suspension,Suspension,"Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. The most common side effects are chalky taste, diarrhea, constipation, and allergic reaction. This medicine may also cause dizziness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Aciloc-S Suspension Sugar Free is a prescription medicine that is used in the treatment of acidity, stomach ulcer and heartburn. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. To overcome constipation, you should add fiber-rich foods in your diet and stay hydrated. You should also tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you."
761,Atorlip 80 Tablet,Tablet,"This medicine is only one part of the treatment program which should also include a healthy diet, regular exercise, smoking cessation, moderation of alcohol intake and weight reduction. Common side effects of this medicine include constipation, flatulence, dyspepsia, and abdominal pain. Diabetic patients should monitor their blood sugar levels while taking this medicine, as it may lead to an increase in blood sugar levels. Cholesterol is a fatty substance that builds up in your blood vessels and causes narrowing, which may lead to a heart attack or stroke. You can eat normally while taking this medicine, but try to avoid foods that are high in fat.  Also, pregnant women and breastfeeding mothers should not take this medicine as it may harm the developing baby. Tablet is a widely prescribed medicine and is regarded as safe for long-term use when taken as per doctor's advice."
762,Acenal SP Tablet,Tablet,"Nausea, vomiting, stomach pain, indigestion, heartburn, loss of appetite and diarrhea are some of the common side effects that might be observed on taking this medicine. Your doctor may regularly monitor your kidney function, liver function, and levels of blood components if you are taking this medicine for long-term treatment. Acenal SP Tablet is a combination medicine used to relieve pain and swelling in various conditions like muscle pain, joint pain and postoperative pain. Thus, it effectively alleviates pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis and osteoarthritis. It is important to keep taking the medicine regularly until your doctor tells you it is safe to stop. Taking the medicine regularly at the right times increases its effectiveness. Long-term use may lead to serious complications such as stomach bleeding and kidney problems."
763,Arbitel 20 Tablet,Tablet,"These may include regular exercise, losing weight, smoking cessation, reducing alcohol intake, and reducing the amount of salt in your diet as advised by your doctor. Your doctor may check your kidney function, blood pressure and potassium levels in your blood at regular intervals while you are taking this medicine. Most people with high blood pressure do not feel ill, but if you stop taking this medicine, your condition could get worse. Before taking this medicine, let your doctor know if you have any kidney or liver problems. Arbitel 20 Tablet is a medicine used to treat high blood pressure and heart disease. Dizziness, particularly after the first dose, is known to occur in some people. It is important to continue taking it regularly even if you feel well or if your blood pressure is controlled."
764,Atorva F Tablet,Tablet,"Nausea, stomach pain, constipation, headache, flatulence (excessive gas), and muscle pain are some of the common side effects of this medicine. This medicine should not be used in conditions such as liver disease (eg. abnormal blood tests for liver function, persistent yellowness of eyes, etc.). This medicine is only one part of a treatment program which should also include a healthy low-fat diet, regular exercise, smoking cessation, moderation of alcohol intake and weight reduction. Before taking it, let your doctor know if you have any kidney-related problems or if you are pregnant, planning a pregnancy, or breastfeeding. Consult your doctor if they persist or if you notice any yellowing of your eyes, unusual bleeding or bruising or get repeated, severe, or unexplained muscle pains. It is used to lower the levels of lipids known as cholesterol and triglycerides in the blood when lifestyle changes (eg. low-fat diet) on their own have failed. Diabetic patients should monitor their blood sugar levels while taking this medicine, as it may lead to an increase in blood sugar levels."
765,Aceron TC Tablet,Tablet,"The most common side effects of this medicine include nausea, vomiting, heartburn, stomach pain, and indigestion. It may also be used to relieve muscle pain, back pain, toothache, or pain in the ear and throat. It is used to treat pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis, and osteoarthritis. If any of these side effects do not resolve with time or get worse, you should let your doctor know. You should also avoid drinking alcohol while you are taking this medicine, as alcohol can cause excessive drowsiness. Let your doctor also know about all the other medicines you are taking to make sure it is safe for you. Do not take more or use it for longer duration than recommended by the doctor."
767,Algest SR 300 Tablet,Tablet,"Before taking this medicine, inform your doctor if you have, or have had, breast cancer, unusual bleeding in the vagina or liver disease. The most common side effects include headache, feeling very tired, stomach cramps, pain or swelling in your abdomen and feeling sick. Also, tell your doctor what other medicines you are taking as some may affect, or be affected by, this medicine. You should continue taking it for as long as your doctor has told you to, even if you feel well.  You may also experience bleeding or spotting between your periods, consult with your doctor if it happens frequently. If you experience dizziness or tiredness, avoid driving or activity which requires mental concentration.  300 Tablet is a natural female sex hormone, progesterone."
768,Acnetoin Gel,Gel,"This is usually a safe medicine, however, it may cause dryness, peeling, redness, and burning sensation at the application site. If it gets into your eyes, nose, mouth, or vagina rinse with water. During the course of the treatment, do not touch, prick or scratch the infected skin areas as this may worsen or spread the acne. If you are a known allergic to the medicine, you must refrain from using this medicine and consult your doctor. This also helps to prevent pimples, blackheads, and whiteheads on the skin. It may take several days to weeks for your symptoms to improve, but you should keep using this medicine regularly. If your condition does not improve or gets worse, you should talk to your doctor."
769,Atazis 25mg Tablet,Tablet,"The most common side effects of this medicine include sedation, nausea, vomiting, stomach upset and constipation.   Before taking this medicine, let your doctor know if you have heart problems or have high blood pressure, have liver or kidney problems. Tablet is an antihistamine used to treat symptoms of skin allergy like itching, swelling, and rashes. If these bother you or appear serious, let your doctor know. mg Tablet should be taken with or without food, but take it at the same time every day to get the most benefit.   In case, you have missed any doses than it is better to take the next dose as soon as you remember it. Inform your doctor if you are pregnant, or breastfeeding."
770,Atorfit CV 10 Capsule,Capsule,"This medicine increases your risk of bleeding, so it is important to be careful while shaving, cutting nails, using sharp objects, or engaging in contact sports (e.g., football, wrestling). Nausea, abdominal pain, headache, and constipation are some common side effects of this medicine. Before taking this medicine, tell your doctor if you have liver or kidney disease or you are suffering from bleeding disorder. Lifestyle changes like low-fat diet, exercise and not smoking may help this medicine to work better. You should also let your healthcare team know all other medicines you are taking as they may affect, or be affected by this medicine. Let your doctor know if you notice yellowing of the skin, muscle pain or dark urine. This medicine reduces the ""bad"" cholesterol (LDL) and triglycerides (fats) levels."
771,ASP Capsule,Capsule,"This medicine increases your risk of bleeding, so it is important to be careful while shaving, cutting nails, using sharp objects, or engaging in contact sports (e.g., football, wrestling). It lowers the ""bad"" cholesterol (LDL), triglycerides and raises the ""good"" cholesterol (HDL) levels in the body. Abdominal pain, indigestion, and constipation are some common side effects of this medicine. Before taking this medicine, tell your doctor if you have liver or kidney disease or you are suffering from bleeding disorder. Lifestyle changes like low-fat diet, exercise and not smoking may help this medicine to work better. You should also let your healthcare team know all other medicines you are taking as they may affect, or be affected by this medicine. Let your doctor know if you notice yellowing of skin, muscle pain or dark urine."
773,Amrolmac Cream,Cream,"Some of the common side effects include blisters on the skin, nail disorders like nail damage and discoloration, skin irritation, rash, or redness on the site of application. In case of direct contact, wash your eyes with water and seek immediate medical attention. Please consult your doctor if these side effects persist for a longer duration. Avoid direct contact of the cream or ointment with your eyes. Amrolmac Cream should be used in the dose and duration as advised by your doctor. It is used for treating fungal infections of the affected area. It kills the fungi and helps in treating the infection."
775,15 mg Tablet,Tablet,"Nausea, vomiting, stomach pain, indigestion, heartburn, loss of appetite and diarrhea are some of the common side effects that might be observed on taking this medicine. Your doctor may regularly monitor your kidney function, liver function, and levels of blood components if you are taking this medicine for long-term treatment. Tablet is a combination medicine used to relieve pain and swelling in various conditions like muscle pain, joint pain and postoperative pain. Thus, it effectively alleviates pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis and osteoarthritis. It is important to keep taking the medicine regularly until your doctor tells you it is safe to stop. Taking the medicine regularly at the right times increases its effectiveness. Long-term use may lead to serious complications such as stomach bleeding and kidney problems."
776,ATM 200 Oral Suspension,Suspension,"Commonly seen side effects seen with this medicine include vomiting, nausea, stomach pain, and diarrhea. ATM 200 Oral Suspension is a broad-spectrum type of antibiotic effective in killing many types of gram-positive bacteria, some types of gram-negative bacteria and other microorganisms. This medicine is taken orally, preferably either one hour before or 2 hours after a meal. Inform your doctor if you have any previous history of allergy or heart problems before taking this medicine. Consult your doctor if you find these side effects worry you or persist for a longer duration. Pregnant or breastfeeding women should consult their doctor before using this medicine. Stopping the medicine too early may lead to the return or worsening of the infection."
777,Amlopres L Tablet,Tablet,"It may cause side effects like ankle swelling, headache, cough, weakness, and tiredness. You may be asked for regular monitoring of blood pressure, kidney function, and electrolytes level while on the treatment. Even if you feel well, do not stop this medicine on your own because high blood pressure often has no symptoms. Keeping active with regular exercise, reducing your weight and eating a healthy diet will also help control your blood pressure. You also need to tell your doctor what other medicines you are taking especially those used to treat high blood pressure or heart conditions. You can take Amlopres L Tablet at any time of day, with or without food, but it is best to take it at the same time each day. This might raise the level of potassium in the blood, hence avoid potassium rich food or supplements."
778,Abd Plus Tablet,Tablet,"If you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.), you must seek immediate medical help. Some common side effects of this medicine are nausea, vomiting, diarrhea, flatulence, etc. Before taking this medicine, you should tell your doctor if you are taking any medicines for any health condition. Do not consume more than the recommended dose, as this may have harmful effects on your body. If any of the side effects get aggravated, you must consult your doctor immediately. It usually does not impair your ability to drive, but you should not drive if it makes you feel sleepy or dizzy. It can be taken with or without food, but it must be taken at a fixed time to ensure better efficacy."
779,Acnex 20 Capsule,Capsule,"It should be taken with food, preferably at the same day, each day to avoid a missed dose. It is advised, not to have any waxing (hair removal), or laser treatments during treatment. This medicine may lead to birth defects, do consult your doctor if you are pregnant or planning to get pregnant. Acnex 20 Capsule belongs to a group of medicines called retinoids, which are closely related to vitamin A derivative. The most common side effects include dry skin, rash and increased liver enzymes. Drink plenty of water and use moisturizer as it may lead to dryness of the mouth, lips and eyes. If you notice no improvement after a few weeks, see your doctor again."
780,5 Tablet,Tablet,"Some common side effects of this medicine include nausea, dry cough, headache, weakness,  decreased blood pressure, and increased potassium level in blood. You may be asked for regular monitoring of blood pressure,  blood sugar level, kidney functioning, urea, or electrolytes level during the treatment. Even if you feel well, do not stop this medicine on your own because high blood pressure often has no symptoms. Keeping active with regular exercise, reducing your weight and eating a healthy diet will also help control your blood pressure. By lowering the blood pressure, it helps in preventing future heart attack and stroke. You also need to tell your doctor what other medicines you are taking especially those used to treat high blood pressure or heart conditions. Before taking it, let your doctor know if you have any liver or kidney problems."
781, Injection,Injection,"Before taking it, you should tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you. The most common side effects are pain or discomfort in extremity, injection site swelling or pain, and superficial thrombophlebitis. Let your doctor know about all other medications you are taking as some may affect, or be affected by this medicine. You should keep taking this medicine for as long as your doctor recommends. Asklerol 3% Injection is a prescription medicine used in the treatment of varicose veins. It is a sclerosing agent that damages the layer of blood vessels, leading to platelet aggregation. 3% Injection is given by your doctor or nurse."
782,Allercet Cold Syrup,Syrup,"It relieves allergy symptoms such as runny nose, stuffy nose, sneezing, watery eyes and congestion or stuffiness. This medicine may cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. Before you start taking this medicine it is important to inform your doctor if you are suffering from liver disease. The most common side effects are nausea, vomiting, and headache. You should keep taking this medicine for as long as your doctor recommends. Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness."
783,Atormac Gold 20 Capsule,Capsule,"Abdominal pain, indigestion, bruising, and nosebleeds are some common side effects of this medicine. Let your doctor know if you notice muscle symptoms (pain or weakness), yellowing of skin, and dark urine. This medicine increases your risk of bleeding, so it is important to be careful while shaving, cutting nails and using sharp objects. Lifestyle changes like low-fat diet, exercise and not smoking may help this medicine to work better. Before taking this medicine, tell your doctor if you have any liver or kidney disease. You should also let your healthcare team know all other medicines you are taking as they may affect, or be affected by this medicine. Usually, it is advisable to avoid alcohol intake while taking this medicine."
784,Alconol 500mg Tablet,Tablet,"Remember while taking this medication, avoid alcohol in all forms including beer, wine, aftershave lotions, mouthwash, vinegar, and liquid medications. Remember it will take time, support, willpower, and determination to readjust the habit of not drinking. It works by producing interaction with alcohol and thereby causing unpleasant effects like nausea, flushing of face, headaches. Initially, it may also cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Some common side effects of using this medication are headache, fatigue, drowsiness and metallic taste. Thus, it discourages the patient from taking alcohol while on this medication. Take this medicine as advised by your doctor and if you have missed a dose, take it as soon as you remember."
786,AT Tablet,Tablet,"It may cause side effects like headache, ankle swelling, slow heart rate, and nausea. You may be asked for regular monitoring of blood pressure, kidney function, and electrolytes level while on the treatment. You also need to tell your doctor what other medicines you are taking especially those used to treat high blood pressure or heart conditions. Even if you feel well, do not stop this medicine on your own because high blood pressure often has no symptoms. Keeping active with regular exercise, reducing your weight and eating a healthy diet will also help control your blood pressure. You can take Amlopres-AT Tablet at any time of day, on empty stomach, but it is best to take it at the same time each day. This might raise the level of potassium in the blood, hence avoid potassium rich food or supplements."
787,25 mg Tablet,Tablet,"Some common side effects of this medicine include nausea, vomiting, diarrhea, confusion, memory impairment, and low sexual desire. It is important not to stop taking this medicine suddenly as this may cause nausea, stomach upset, flu-like withdrawal symptoms, sleep disturbance and anxiety. To prevent weight gain, you can eat a healthy balanced diet, avoid snacking with high-calorie food and exercise regularly. However, it is advised to take it at the same time each day as this helps to maintain consistent levels of medicine in the body. So, do not drive or do anything that requires mental focus until you know how this medicine affects you. On the other hand, weight loss can be managed by consulting a dietitian who can help you increase the food portions. If you miss a dose of this medicine, take it as soon as you remember."
788,F Tablet,Tablet,"Nausea, stomach pain, constipation, headache, flatulence (excessive gas), and muscle pain are some of the common side effects of this medicine. This medicine should not be used in conditions such as liver disease (eg. abnormal blood tests for liver function, persistent yellowness of eyes, etc.). This medicine is only one part of a treatment program which should also include a healthy low-fat diet, regular exercise, smoking cessation, moderation of alcohol intake and weight reduction. Before taking it, let your doctor know if you have any kidney-related problems or if you are pregnant, planning a pregnancy, or breastfeeding. Consult your doctor if they persist or if you notice any yellowing of your eyes, unusual bleeding or bruising or get repeated, severe, or unexplained muscle pains. It is used to lower the levels of lipids known as cholesterol and triglycerides in the blood when lifestyle changes (eg. low-fat diet) on their own have failed. Diabetic patients should monitor their blood sugar levels while taking this medicine, as it may lead to an increase in blood sugar levels."
790,Aristogyl 400 Tablet,Tablet,"It is used to treat infections of the liver, stomach, intestines, vagina, brain, heart, lungs, bones and skin. The most common side effects of this medicine are headache, dryness in the mouth, nausea, and a slight metallic taste in the mouth. Otherwise, you may get unpleasant side effects like nausea, vomiting, and stomach pain. If you stop taking it early, some bacteria may survive, and the infection may come back. It is also used in the treatment of dental infections, leg ulcers, and pressure sores. Before using this medicine, inform your doctor if you are allergic to any medicine or have any kidney or liver problems or any disease of the nervous system. If you are pregnant or breastfeeding, inform your doctor before taking this medicine."
791,Armod 50 Tablet,Tablet,"Before taking Armod 50 Tablet, inform your doctor if you have any problems with your kidneys, heart, liver, or have a history of seizures (epilepsy or fits). Inform your doctor if you develop any unusual changes in mood or behavior, new or worsening depression, or if you have any suicidal thoughts. It improves wakefulness and helps you to stay awake and reduces the tendency to fall asleep during the day, thus restoring the normal sleep cycle. It even causes dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. 50 Tablet is a prescription medicine used in the treatment of excessive daytime sleepiness (narcolepsy). Some common side effects of this medicine include headache, nausea, and insomnia However, these side effects are temporary and usually resolve on their own in some time."
792,Ambizyme 300mg Tablet,Tablet,"Some people may experience a headache, nausea, hair loss and vomiting as the side effects of this medicine. 300mg Tablet should be used in the dose and duration as advised by your doctor. Do not take a double dose to make up for a missed dose. Please consult your doctor if these side effects do not resolve or persist for a longer duration. It may be taken with or without food, preferably at a fixed time. It kills the infection causing microorganisms and thus treats the infection. Avoid skipping any doses and finish the full course of treatment even if you feel better."
793,Alkem Piroxicam 10mg Tablet,Tablet,"Before using it, you should let your doctor know if you have a history of stomach ulcers, heart diseases, high blood pressure, and liver or kidney disease. The most common side effects of this medicine include mild vomiting, stomach pain, nausea, headache, and dizziness. Let your doctor also know about all the other medicines you are taking because they may affect, or be affected by, this medicine. If any of these side effects persist or get worse, you should let your doctor know. You should keep taking the medicine even if you feel better until the doctor says it is alright to stop using it. mg Tablet DT is a pain relieving medicine. Your doctor may be able to suggest ways of preventing or reducing the symptoms."
794,Amazeo 50 Tablet,Tablet,"Some common side effects of this medicine include nausea, vomiting, and dryness in the mouth. Take this medicine in the dose and duration as advised by your doctor and if you have missed a dose, take it as soon as you remember. It also causes dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. However, it is advised to take it at the same time each day as this helps to maintain a consistent level of medicine in the body. However, modifying your lifestyle by having a healthy diet and exercising regularly can reduce this side effect. This medicine can lead to weight gain and may increase your blood sugar and cholesterol levels. Tablet may be taken with or without food, preferably before bedtime."
795,Anaflam TH  8 Tablet,Tablet,"Using of this medicine may cause few common side effects such as nausea, vomiting, heartburn, stomach pain, diarrhea, loss of appetite, and dryness in mouth. It works by blocking the release of certain chemical messengers that cause pain, inflammation, and fever. Before using the medicine, you should tell your doctor if you have any other medical conditions or disorders. If any of these side effects do not resolve with time or get worse, you should let your doctor know. To make sure it is safe, you should let your doctor know all the other medicines you are taking. Also, tell your doctor if you have any problems with liver or kidneys. In general, you should try to use the smallest amount necessary to control your symptoms."
796,Atocor 80 Tablet,Tablet,"This medicine is only one part of the treatment program which should also include a healthy diet, regular exercise, smoking cessation, moderation of alcohol intake and weight reduction. Common side effects of this medicine include constipation, flatulence, dyspepsia, and abdominal pain. Diabetic patients should monitor their blood sugar levels while taking this medicine, as it may lead to an increase in blood sugar levels. Cholesterol is a fatty substance that builds up in your blood vessels and causes narrowing, which may lead to a heart attack or stroke. You can eat normally while taking this medicine, but try to avoid foods that are high in fat.  Also, pregnant women and breastfeeding mothers should not take this medicine as it may harm the developing baby. Tablet is a widely prescribed medicine and is regarded as safe for long-term use when taken as per doctor's advice."
797,Alfugress Tablet,Tablet,"Some common side effects of this medicine are upper respiratory tract infection, headache, and tiredness. Patients with liver or kidney disease must be cautious while receiving the prescription, and they must receive regular follow-ups as per the doctor’s advice. Try to urinate as soon as you feel the urge, however, never strain or push to empty your bladder. Before receiving the treatment, inform your doctor if you are on any medication for any other health condition. If you are pregnant or breastfeeding, tell your doctor prior to the treatment. It may also lead to blurry vision or dizziness, so it is advised to avoid driving while on the medication. If any of the side effects persist or bother you, you must consult the doctor without delay."
798,A Gel,Gel,"Use of Atm-A Gel may lead to a few common side effects like dryness, peeling, redness, and burning sensation at the application site. Atm-A Gel should not be used during pregnancy, as it may lead to birth defects, consult your doctor if you are pregnant or planning to get pregnant. Drink plenty of water and use moisturizer as it may lead to dryness of mouth, lips, and eyes. This helps in preventing pimples, blackheads, and whiteheads on the skin. If these side effects do not improve with time or worsen, inform your doctor. It is advised, not to have any cosmetic procedures during the treatment. It minimizes oil production, thus reduces inflammation."
799,325mg Tablet,Tablet,"Some of the common side effects of this medicine include nausea, vomiting, stomach pain, loss of appetite, heartburn, and diarrhea. Before taking it, let your doctor know if you have any problems with your heart, kidneys, liver, or have stomach ulcers. It may also be used to relieve muscle pain, back pain, toothache, or pain in the ear and throat. It is used to reduce pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis, and osteoarthritis. If any of these side effects bother you or do not go away with time, you should let your doctor know. To make sure it is safe for you, let your doctor know about all the other medicines you are taking. Your doctor may help you with ways to reduce or prevent these side effects by prescribing an alternative medicine or adjusting the dose."
800,5 mg Tablet,Tablet,"The most common side effects of this medicine include swelling in your ankles or feet (oedema), headache, sleepiness, dizziness, tiredness, and upset stomach. By lowering your blood pressure, it is reducing your risk of heart attack or stroke so do not stop taking it unless your doctor tells you to. However, it is better to take it regularly at a fixed time each day, as prescribed by your doctor. While using this medicine, your blood pressure will need to be checked often and your kidney function may also need to be tested. Before taking this medicine, let your doctor know if you have any kidney or liver problems or severe dehydration. It lowers the blood pressure by relaxing the blood vessels and making it easier for your heart to pump blood around your body. mg Tablet contains two medicines, both of which help to control high blood pressure."
801,Acrotac 10mg Capsule,Capsule,"The most common side effects are dry lips, dryness in the mouth, skin peeling, joint pain, itching, runny nose, nosebleeds, hair loss, and increased levels of blood fat. Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding as Acrotac 10mg Capsule can cause fetal abnormalities. Let your doctor know about all other medications you are taking as some may affect, or be affected by this medicine. It may cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. You should tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you. Your doctor may get your regular blood tests done to monitor your liver function and the levels of fats such as cholesterol in your blood. Acrotac 10mg Capsule is a medicine that is similar to vitamin A and is involved in the normal growth of skin cells."
802,2mg Tablet,Tablet,"Make sure you recognize the signs of having low blood glucose levels, such as sweating, dizziness, headache, and shaking and know how to deal with it. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems and loss of limbs. if you have type 1 diabetes mellitus, if you have diabetic ketoacidosis (high levels of acid in your blood), or if you have severe kidney or liver disease. Your blood sugar levels should be checked regularly and your doctor may also advise blood tests to monitor your blood cell counts and liver function. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. To prevent this, it's important to have regular meals and always carry a fast-acting source of glucose such as sugary food or fruit juice with you."
804,Afogatran 150 Capsule,Capsule,"Other side effects include headache, seizures, allergic reactions, changes to your eyesight, and tiredness. It could quickly put you more at risk of having a heart attack, stroke or thrombosis (formation of a blood clot within a blood vessel). It prevents and treats clot formation in the veins of your legs, lungs, brain and heart. Do not take this medicine if you have severe kidney or liver problems, if you are currently bleeding or if you are taking other medicines to reduce blood clotting. Unlike other anticoagulants, a regular blood test (PT-INR) is not required while taking this medicine. The most common side effect of Afogatran 150 Capsule are stomach upset and bleeding more easily than normal, for example having nosebleeds or bruising. Afogatran 150 Capsule is commonly used in patients with irregular heart rhythm (atrial fibrillation) to prevent clot formation."
805,Amlovas 10 Tablet,Tablet,"The most common side effects include fatigue, swelling in the feet or ankles, sleepiness, dizziness, flushing, headache, and unusual beating of the heart (palpitations). You also need to tell your doctor what other medicines you are taking, especially those used to treat high blood pressure or heart conditions. Before taking it, let your doctor know if you have any liver, heart or kidney problems. Keeping yourself active with regular exercise, reducing your weight, and eating a healthy diet will also help control your blood pressure. It is used to treat high blood pressure (hypertension) and prevent angina (heart-related chest pain). You can take it at any time of the day, with or without food, but it is best to take it at the same time each day. Even if you feel well, do not stop this medicine on your own because high blood pressure often has no symptoms."
806,Asthafen Tablet,Tablet,"Before taking this medicine, tell your doctor if you have epilepsy, or you have diabetes. Do not drive, use machinery, or do any activity that attention as medicine may cause dizziness. This medicine is usually not safe to take during pregnancy and breastfeeding, ask from the doctor if required.  The most common side effects of this medicine include hyperactivity, irritability and sleep disturbance. Your doctor should also know about all other medicines you are taking as many of these may make this medicine less effective or change the way it works. Asthafen Tablet is the prescription medicine used to prevent the symptoms of asthma. Asthafen Tablet can be taken with or without food, but take it at the same time to get the most benefit."
